ID,Area,Flagged,Status,Owner,Notes
1,Name Landing,No validation + cramped single-name placeholder,Complete,Front-end,Inline red-border errors; split First/Last placeholders
2,Name Landing,State allowed blank,Complete,Front-end,State now required + validated before submit
3,SRP,Load More button did nothing,Complete,Front-end,Button hides once pagination returns empty
4,SRP,Buttons overlaid content on S5,Complete,Front-end,ResultCard stacks at <=520px
5,SRP,Hard 5-result cap / count,Complete,Front-end,Surfaces real transient.total; >30 shows refine prompt
6,Name Landing v2,Placeholders cramped,Complete,Front-end,Placeholders updated
7,Name Landing v2,Middle name asked twice,Complete,Front-end,Resolved
8,Name Landing v3,"FCRA-compliant badge + placeholders",Complete,Front-end,Swept 22 trust-badge sites; FCRA claims removed
9,Name Landing v4,"FCRA-safe badge + placeholders",Complete,Front-end,Same FCRA sweep
10,SRP,Optional city/age did not filter,Complete,Front-end,City/middleName/age forwarded + client narrow
11,SRP,No sort option,Complete,Front-end,Sort dropdown: relevance/age/name
12,Name Landing v5,State optional,Complete,Front-end,State required
13,Name Landing v6,All-red scheme blurred error-red,Complete,Front-end,Swapped to brand green
14,Phone Landing,Empty submit no error + box too low,Complete,Front-end,Inline error + tighter mobile padding
15,Phone SRP,Showed unobscured owner details,Complete,Front-end,Blurred name / masked location / unlock pill
15b,Phone Search,Click routed to signup-free preview,Complete,Front-end,Click goes straight to /signup with identity context
16,Signup,Password rules hidden until failure,Complete,Front-end,Live 5-item checklist + expanded email disclosure
17,Payment,FCRA + past expiry + address-on-file lie,Complete,Front-end,FCRA removed; past expiry rejected; billing ZIP required
18,Membersite,Paid user showed Free Account,Complete,Front-end,Subscription persists + provisioning grace + reconcile
19,Dashboard,Recent activity overflowed S5,Complete,Front-end,Responsive block at <=400px
20,Membersite,Pre-signup report lost after payment,Complete,Front-end,pendingReport stash + auto-retry + resume banner
21,Membersite,No signup email,Needs BC,BC,Welcome email must fire on signup; doc BC_SIGNUP_WELCOME_EMAIL.md
22,Confirmation Page,Missing real confirmation,Complete,Front-end,Full confirmation screen with View-report CTA
23,Member Search,State/city optional,Complete,Front-end,State now required + validation copy
