Date,Type,Area,Summary,Commit
2026-06-27,Bug fix,csr,suspend account — use BC-valid status 'blocked' (Hana feedback A),d51cd1d
2026-06-27,Bug fix,csr,drop misleading Pro/Free badge from user list (Hana feedback B),7fd92bb
2026-06-27,Bug fix,csr,correct user/order status display (Hana feedback C/D/E),da1f422
2026-06-26,Bug fix,csr,detect audio attachments by file extension too (not just mimetype),6a4c746
2026-06-26,Feature,csr,play audio attachments inline via BC playAudioFlag (live-call recordings),76b8536
2026-06-26,Bug fix,csr,attachment label reads BC originalname/filename (live-call recordings),bd3b5e0
2026-06-26,Bug fix,csr,make message attachments clickable/downloadable,958acb0
2026-06-26,Bug fix,ads,carry gclid/utm through the campaign redirect (Google Ads attribution),59ed936
2026-06-26,Feature,tracking,"""why"" instrumentation — utm_term/content, step timing, validation_error",05b1d90
2026-06-25,Bug fix,tracking,suppress spurious home landing_view on campaign redirects,1c3d6c3
2026-06-25,Bug fix,member,trim data-broker list to Spokeo + PeopleFinders only,1b41999
2026-06-25,Bug fix,legal,"bump Last Updated to 6/25/2026, remove Terms section numbering",7639300
2026-06-24,Bug fix,funnel,responsive container for phone search-results page (mobile),b000932
2026-06-24,Bug fix,funnel,honest state-required labeling on name landings,d96473b
2026-06-24,Bug fix,funnel,Phone V2-V6 delegate search to /phone/loader (dead-end + Ads gap),1826c64
2026-06-24,Bug fix,funnel,Name V2/V5 delegate search to /name/loader (was Ads-invisible),46b923b
2026-06-24,Bug fix,consumer,graceful error on Contact Us 412 (BC anti-abuse rule block),7a71905
2026-06-24,Feature,tracking,attribute Ads conversions to ad variant (surface B),106443d
2026-06-24,Feature,tracking,persist landing variant for end-to-end conversion attribution,326d974
2026-06-24,Feature,tracking,unique funnel-page IDs + visitor/member actor + GA4 dataLayer bridge,4434e0b
2026-06-23,Feature,tracking,"GAP-7 (loggedIn/userId on every event), GAP-5 (load_more), GTM partner-race",86a5d52
