ID,Steps to recreate,What I expect to happen,Primary Page Feedback,Status,
1,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put first name only without state and it wasn't a good search.","Front end validation to stop me from submitting and red border around fields that need fixing.
Probably separate first name and last name fields. placeholders to say ""First ex. John"" and ""Last ex. Smith"" or something to make it clear. SRP would have to match the search fields.",Name Landing,,
2,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put first AND last name without state and it wasn't a good search, but still allowed me to get to the next page",Require state dropdown selection on both landing and SRP.,Name Landing,,
3,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. There was a Load More results button that does nothing.","If load more results isn't supposed to return any info, no need to show it.",SRP,,
4,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. Buttons seem overlaid against the content",Some way to not overlay the button over the content,SRP,,->
5,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. I tried with Tim Chin and CA and got 5 results.
4. I tried with Jeremy Smith and CA and got 5 results
5. I tried with Tim Chin and FL and got 5 results.
6. I can't trigger more than 5 results and Load more button doesn't do anything","SRP should show full count available if <= 30 results and if it has > 30 results, you probably want to say more than 30 results available, and on the bottom have a way to refine search to be more specific.

It might be worth just always having some kind of refine search on the SRP with more fields at the bottom instead of at the top before you see any of your results.",SRP,,
6,1. https://dev.www.idlookup.ai/name/landing/v2 with Galaxy S5 in emulator,"Same feedback as #1 with Placeholders to say ""First ex. John"" and ""Last ex. Smith"" or something to make it clear.",Name Landing,,
7,"1. https://dev.www.idlookup.ai/name/landing/v2 with Galaxy S5 in emulator
2. Get to step 3",Both Step 1 and Step 3 are asking for middle name,Name Landing,,
8,1. https://dev.www.idlookup.ai/name/landing/v3 with Galaxy S5 in emulator,"Generally remove any references to FCRA compliant as that would imply we are governed by FCRA which we are trying not to be

Same feedback as #1 with placeholders",Name Landing,,
9,1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator,"Same comment as #8 with ""FCRA safe""

Same feedback as #1 with placeholders",Name Landing,,
10,"1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator
2. Search for Jerome Ang in CA and then in future screen put ""Los Angeles""",I don't think that anything other than name/state are getting used as I can't change results based on any of the optional info I add later.,SRP,,
11,"1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator
2. Search for Jerome Ang in CA and then in future screen put ""Los Angeles""",With all the SRPs I think users will want a way to re-order if there are a large amount of results. A dropdown sort would help. (age?). I'm guessing the refine search would do more for users in this area.,SRP,,
12,"1. https://dev.www.idlookup.ai/name/landing/v5 with Galaxy S5 in emulator
2. Search for Jerome Ang",I would make state required in all of the landing pages.,Name Landing,,
13,https://dev.www.idlookup.ai/name/landing/v6,I don't generally like the everything red color scheme as errors are going to blend in.,Name Landing,,
14,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Click search button without putting anything","No error shows

Also search box is too low",Phone Landing,,
15,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Use 213-935-0507","I expected obscured info and signup to view more info, but got to what looks like the same as the name SRP with all the owners shown",Phone SRP,,
15,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Use 213-935-0507 and click on any person","I expected to see the signup page, but got to a search page with signup for free.

Also some elements on the page don't look right on mobile like rounded border boxes.

Separately, the info in the rounded border box is the same as the content above it.

Some wrapping issues like the sticky banner on bottom and FCRA Compliant callout",Phone Search Page,,->
,"I DIDN'T TEST the other phone versions much, none of the email versions, and none of the membersite",,,,
16,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. Search for ""Jerome Ang"" in CA
3. Get to the first step in signup page","Password should tell you pre-req as user is typing or before they type

Email input disclosure should be longer. Look at competitors.",Name Signup,,
17,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. Search for ""Jerome Ang"" in CA
3. Get to the first step in payment page","FCRA Compliant callout again

Exp date allows for 11/01 which is in the past

It says use billing address on file, but we've never collected it before. We'd probably want at least billing zip and put billing first/last as the fields instead of just name

We'll probably want a trial version of this first",Name Payment,,
18,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. I put the credit card in and everything for a $29.99 membership. It says I have a free account and that I should upgrade to Pro for $29.99. My username is jeromea@idlookup.ai","I expected to have paid $29.99 since I had put a credit card in on the $29.99 reg. Not sure if I had put my billing zip when registering, but it isn't reflected in the account. You'll want to make sure any billing info is reflected.",Membersite,,
19,"1. Signed up on https://dev.www.idlookup.ai/ and am seeing the free member experience
2. Everything under recent activity doesn't fit on my screen when looking as a Galaxy S5 in emulator",Everything should fit width even with that restrictive width level,Membersite,,
20,"1. Signed up on https://dev.www.idlookup.ai/ and am seeing the free member experience
2. When I was searching, I selected a report on the sales SRP.
3. I don't see it anywhere in the member experience.",I expected to see the report somewhere on the member experience for me to view. I forgot who I had selected on the sales SRP,Membersite,,
21,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. I didn't receive any email",I should have gotten an email with the information of signup,Membersite,,
22,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. No confirmation page","I had expected some kind of confirmation page. It is fine to not have it for MVP, but just noting, there isn't a conf page and sales site interstitial selling any upgrades for whenever we get to it.",Conf page,,
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. Member search has scrolls on it",The horizontal/vertical scrolls are probably not intended. Is there a way to show that there is content to the right without scrolls?,Membersite,,->
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. Member search has state and city as optional","I think we wanted to make state/city required. I forgot to add that above, but we would want to add to both Sales and Member flows","Name Landing
Phone Landing?
SRP?
Membersite",,
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. City field should have typeahead",City field should have typeahead,Membersite,,
24,"1. https://dev.www.idlookup.ai/name/landing with Galaxy S5 in emulator
2. We need the new opt out page in row 12 of the API doc",Page should show opt out page,Name Opt Out,,
25,1. Footers need updated terms/privacy,refund policy+california privacy will be in terms+privacy policy,Footer,,
