ID,Steps to recreate,What I expect to happen,Primary Page Feedback,Status,Area,What was flagged,How addressed
1,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put first name only without state and it wasn't a good search.","Front end validation to stop me from submitting and red border around fields that need fixing.
Probably separate first name and last name fields. placeholders to say ""First ex. John"" and ""Last ex. Smith"" or something to make it clear. SRP would have to match the search fields.",Name Landing,complete,Name Landing v1 ,No validation; cramped single-name placeholder,"Inline red-border errors on first/last/state; split placeholders to ""First (ex. John)"" / ""Last (ex. Smith)"" |"
2,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put first AND last name without state and it wasn't a good search, but still allowed me to get to the next page",Require state dropdown selection on both landing and SRP.,Name Landing,complete,Name Landing v1,State allowed to be blank,"State now required, validated before submit "
3,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. There was a Load More results button that does nothing.","If load more results isn't supposed to return any info, no need to show it.",SRP,complete,SRP ,Load More button did nothin,Button now hides once pagination returns empty; root cause is BC default page size — pagination continues via `getMore()` |
4,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. Buttons seem overlaid against the content",Some way to not overlay the button over the content,SRP,complete,SRP ,Buttons overlaid content on S5 ,esultCard row flips to stacked layout at ≤520px so the View Full Report button doesn't collide |
5,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. I tried to put Jerome Ang and CA and got 5 results.
3. I tried with Tim Chin and CA and got 5 results.
4. I tried with Jeremy Smith and CA and got 5 results
5. I tried with Tim Chin and FL and got 5 results.
6. I can't trigger more than 5 results and Load more button doesn't do anything","SRP should show full count available if <= 30 results and if it has > 30 results, you probably want to say more than 30 results available, and on the bottom have a way to refine search to be more specific.

It might be worth just always having some kind of refine search on the SRP with more fields at the bottom instead of at the top before you see any of your results.",SRP,complete,SRP ,| Hard 5-result cap,"Surfaced real `raws.0.transient.total` count; ≤30 shows full count, >30 shows ""More than 30 results — refine your search"" |"
6,1. https://dev.www.idlookup.ai/name/landing/v2 with Galaxy S5 in emulator,"Same feedback as #1 with Placeholders to say ""First ex. John"" and ""Last ex. Smith"" or something to make it clear.",Name Landing,complete,Name Landing v2 ,Placeholders cramped,Placeholders updated
7,"1. https://dev.www.idlookup.ai/name/landing/v2 with Galaxy S5 in emulator
2. Get to step 3",Both Step 1 and Step 3 are asking for middle name,Name Landing,complete,Name Landing v2 , Middle name asked twice (Step 1 + Step 3) |,Placeholders updated
8,1. https://dev.www.idlookup.ai/name/landing/v3 with Galaxy S5 in emulator,"Generally remove any references to FCRA compliant as that would imply we are governed by FCRA which we are trying not to be

Same feedback as #1 with placeholders",Name Landing,complete,Name Landing v3,"FCRA Compliant"" trust badge + placeholders"," Swept 22 trust-badge sites across all variants; ""FCRA compliant/safe"" claims removed. Legal disclaimers (""not for FCRA purposes"") intentionally kept since they're protective "
9,1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator,"Same comment as #8 with ""FCRA safe""

Same feedback as #1 with placeholders",Name Landing,complete,Name Landing v4,"FCRA Compliant"" trust badge + placeholders"," Swept 22 trust-badge sites across all variants; ""FCRA compliant/safe"" claims removed. Legal disclaimers (""not for FCRA purposes"") intentionally kept since they're protective "
10,"1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator
2. Search for Jerome Ang in CA and then in future screen put ""Los Angeles""",I don't think that anything other than name/state are getting used as I can't change results based on any of the optional info I add later.,SRP,complete,SRP,Optional city/age didn't actually filte,City/middleName/age now forwarded to BC (speculative) AND applied as client-side narrow; fallback to unfiltered if narrowing would empty results |
11,"1. https://dev.www.idlookup.ai/name/landing/v4 with Galaxy S5 in emulator
2. Search for Jerome Ang in CA and then in future screen put ""Los Angeles""",With all the SRPs I think users will want a way to re-order if there are a large amount of results. A dropdown sort would help. (age?). I'm guessing the refine search would do more for users in this area.,SRP,complete,SRP,No sort option,Sort dropdown added: relevance / age asc / age desc / name A-Z. Most-likely badge only shown when sort = relevance |
12,"1. https://dev.www.idlookup.ai/name/landing/v5 with Galaxy S5 in emulator
2. Search for Jerome Ang",I would make state required in all of the landing pages.,Name Landing,complete,Name Landing v5,State optional,State Required
13,https://dev.www.idlookup.ai/name/landing/v6,I don't generally like the everything red color scheme as errors are going to blend in.,Name Landing,complete,Name Landing v6,All-red scheme blurred error-red,"Swapped red palette to brand green across all V6 CSS hits (#e11d48 → #0d5d2f, etc.) |"
14,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Click search button without putting anything","No error shows

Also search box is too low",Phone Landing,complete,Phone Landing, Empty submit no error + box too low,nline red error on empty/invalid submit; hero/form padding tightened on ≤480px so the box is above the fold on S5 |
15,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Use 213-935-0507","I expected obscured info and signup to view more info, but got to what looks like the same as the name SRP with all the owners shown",Phone SRP,complete,Phone SRP, Showed unobscured owner details,"Cards now blurred-name / masked-location / ""🔒 Sign up to unlock"" pill |"
15,"1. https://dev.www.idlookup.ai/phone/landing with Galaxy S5 in emulator
2. Use 213-935-0507 and click on any person","I expected to see the signup page, but got to a search page with signup for free.

Also some elements on the page don't look right on mobile like rounded border boxes.

Separately, the info in the rounded border box is the same as the content above it.

Some wrapping issues like the sticky banner on bottom and FCRA Compliant callout",Phone Search Page,complete,Phone SRP,"Clicking routed to ""signup free"" preview",Click now goes directly to `/signup?selected=X&source=phone` with identity context preserved |
,"I DIDN'T TEST the other phone versions much, none of the email versions, and none of the membersite",,,,,,
16,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. Search for ""Jerome Ang"" in CA
3. Get to the first step in signup page","Password should tell you pre-req as user is typing or before they type

Email input disclosure should be longer. Look at competitors.",Name Signup,complete,Signup,Password rules not visible until failure; email disclosure too short , Live 5-item password checklist on SignupPage; expanded email disclosure copy |
17,"1. https://dev.www.idlookup.ai/ go to Galaxy S5 in emulator.
2. Search for ""Jerome Ang"" in CA
3. Get to the first step in payment page","FCRA Compliant callout again

Exp date allows for 11/01 which is in the past

It says use billing address on file, but we've never collected it before. We'd probably want at least billing zip and put billing first/last as the fields instead of just name

We'll probably want a trial version of this first",Name Payment,complete,Payment,"FCRA callout; past expiry accepted; ""address on file"" lie; no billing collection"," FCRA removed (#8 sweep); expiry rejects past MM/YY with ""This date is in the past"" message; billing section auto-expanded with required ZIP; hardcoded ""10001"" fallback removed |"
18,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. I put the credit card in and everything for a $29.99 membership. It says I have a free account and that I should upgrade to Pro for $29.99. My username is jeromea@idlookup.ai","I expected to have paid $29.99 since I had put a credit card in on the $29.99 reg. Not sure if I had put my billing zip when registering, but it isn't reflected in the account. You'll want to make sure any billing info is reflected.",Membersite,complete,Membersite,"Paid user showed ""Free Account"" after refresh ",Subscription now persists to localStorage with `syntheticAt` timestamp; 2-min BC-provisioning grace window; delayed reconcile 15s post-sale to swap synthetic for real BC order |
19,"1. Signed up on https://dev.www.idlookup.ai/ and am seeing the free member experience
2. Everything under recent activity doesn't fit on my screen when looking as a Galaxy S5 in emulator",Everything should fit width even with that restrictive width level,Membersite,complete,Dashboard ,Recent activity overflowed S5 width,"Dashboard responsive block at ≤400px: tighter padding, wrapping text, full-width tiles |"
20,"1. Signed up on https://dev.www.idlookup.ai/ and am seeing the free member experience
2. When I was searching, I selected a report on the sales SRP.
3. I don't see it anywhere in the member experience.",I expected to see the report somewhere on the member experience for me to view. I forgot who I had selected on the sales SRP,Membersite,complete,Membersite, Selected pre-signup report lost after payment,PaymentPage stashes `pendingReport` on createReport failure; DashboardHome auto-retries on mount and surfaces a resume banner on failure |
21,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. I didn't receive any email",I should have gotten an email with the information of signup,Membersite,in progress,,,BC ask filed (docs/BC_SIGNUP_WELCOME_EMAIL.md) — BC must trigger welcome email on signup. Client cannot send.
22,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. No confirmation page","I had expected some kind of confirmation page. It is fine to not have it for MVP, but just noting, there isn't a conf page and sales site interstitial selling any upgrades for whenever we get to it.",Conf page,complete,Confirmation Page,Missing real confirmation after paid signup |,"ull confirmation screen with primary CTA ""View {FullName}'s report →"" (when report creation succeeded) or amber ""We're finishing up X's report"" (when provisioning); no auto-redirect |"
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. Member search has scrolls on it",The horizontal/vertical scrolls are probably not intended. Is there a way to show that there is content to the right without scrolls?,Membersite,complete,Member Search,| State/city optional , State now required with matching validation copy |
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. Member search has state and city as optional","I think we wanted to make state/city required. I forgot to add that above, but we would want to add to both Sales and Member flows","Name Landing
Phone Landing?
SRP?
Membersite",complete,,,
23,"1. Signed up on https://dev.www.idlookup.ai/ as a paid user
2. Search as Galaxy S5
3. City field should have typeahead",City field should have typeahead,Membersite,not started,Member Search,City field needed typeahead ,Post MVP
24,"1. https://dev.www.idlookup.ai/name/landing with Galaxy S5 in emulator
2. We need the new opt out page in row 12 of the API doc",Page should show opt out page,Name Opt Out,complete,Opt Out, New BC-hosted opt-out flow |,"piWrapper.goToOptOutPage()` calls `ApiWrapper.goPage('optOut', { newPage })` per new docs; ""Open opt-out portal"" CTA added to `/opt-out` landing. Our custom form still works |"
25,1. Footers need updated terms/privacy,refund policy+california privacy will be in terms+privacy policy,Footer,complete,Footer,Fold Refund + California Privacy into Terms/Privacy,Removed separate footer links; Refund section appended to TermsPage (`#refund-policy` anchor); California Privacy section appended to PrivacyPage (`#california-privacy` anchor). Legacy `/refund` and 
26,Footer has support email,Don't need to have support@ in footer,Footer,complete,Footer,,No support@ in Footer.js or codebase; inbound routed through /contact.
27,Email input in /search/ page doesn't have an email disclosure if you plan to use for remarketing,Email sending disclosure,Search,complete,Post SRP,,Email-use disclosure added on /search before email capture.
28,"Do a search, get to SRP, select a person and get to the create your account page","Password input is a PITA. I use ""test1234"" and got requirement to use a cap, then subsequently a special character. 3 clicks to finally to get to the next page. Not super high security, just 8 char min plz",Search,complete,Post SRP,,validatePassword reduced to 8-char minimum; checklist trimmed.
